ID,intervention,item,time,value
1,1,intrinsic_a,0,5
1,1,intrinsic_b,0,4
1,1,intrinsic_c,0,4
1,1,intrinsic_d,0,4
1,1,identified_a,0,5
1,1,identified_b,0,2
1,1,identified_c,0,3
1,1,identified_d,0,2
1,1,intrinsic_a,1,4
1,1,intrinsic_b,1,3
1,1,intrinsic_c,1,4
1,1,intrinsic_d,1,4
1,1,identified_a,1,4
1,1,identified_b,1,3
1,1,identified_c,1,4
1,1,identified_d,1,3
2,1,intrinsic_a,0,5
2,1,intrinsic_b,0,4
2,1,intrinsic_c,0,4
2,1,intrinsic_d,0,4
2,1,identified_a,0,5
2,1,identified_b,0,5
2,1,identified_c,0,5
2,1,identified_d,0,4
2,1,intrinsic_a,1,5
2,1,intrinsic_b,1,4
2,1,intrinsic_c,1,3
2,1,intrinsic_d,1,4
2,1,identified_a,1,4
2,1,identified_b,1,5
2,1,identified_c,1,5
2,1,identified_d,1,5
3,1,intrinsic_a,0,4
3,1,intrinsic_b,0,4
3,1,intrinsic_c,0,4
3,1,intrinsic_d,0,4
3,1,identified_a,0,5
3,1,identified_b,0,2
3,1,identified_c,0,3
3,1,identified_d,0,2
3,1,intrinsic_a,1,5
3,1,intrinsic_b,1,4
3,1,intrinsic_c,1,4
3,1,intrinsic_d,1,3
3,1,identified_a,1,5
3,1,identified_b,1,4
3,1,identified_c,1,4
3,1,identified_d,1,5
4,1,intrinsic_a,0,3
4,1,intrinsic_b,0,3
4,1,intrinsic_c,0,3
4,1,intrinsic_d,0,3
4,1,identified_a,0,4
4,1,identified_b,0,3
4,1,identified_c,0,3
4,1,identified_d,0,1
4,1,intrinsic_a,1,3
4,1,intrinsic_b,1,3
4,1,intrinsic_c,1,3
4,1,intrinsic_d,1,3
4,1,identified_a,1,3
4,1,identified_b,1,3
4,1,identified_c,1,3
4,1,identified_d,1,3
5,1,intrinsic_a,0,4
5,1,intrinsic_b,0,5
5,1,intrinsic_c,0,5
5,1,intrinsic_d,0,5
5,1,identified_a,0,4
5,1,identified_b,0,4
5,1,identified_c,0,4
5,1,identified_d,0,1
5,1,intrinsic_a,1,NA
5,1,intrinsic_b,1,NA
5,1,intrinsic_c,1,NA
5,1,intrinsic_d,1,NA
5,1,identified_a,1,NA
5,1,identified_b,1,NA
5,1,identified_c,1,NA
5,1,identified_d,1,NA
6,1,intrinsic_a,0,5
6,1,intrinsic_b,0,5
6,1,intrinsic_c,0,4
6,1,intrinsic_d,0,5
6,1,identified_a,0,4
6,1,identified_b,0,4
6,1,identified_c,0,4
6,1,identified_d,0,4
6,1,intrinsic_a,1,5
6,1,intrinsic_b,1,5
6,1,intrinsic_c,1,5
6,1,intrinsic_d,1,5
6,1,identified_a,1,5
6,1,identified_b,1,5
6,1,identified_c,1,5
6,1,identified_d,1,3
7,1,intrinsic_a,0,5
7,1,intrinsic_b,0,5
7,1,intrinsic_c,0,5
7,1,intrinsic_d,0,5
7,1,identified_a,0,5
7,1,identified_b,0,5
7,1,identified_c,0,5
7,1,identified_d,0,1
7,1,intrinsic_a,1,5
7,1,intrinsic_b,1,5
7,1,intrinsic_c,1,5
7,1,intrinsic_d,1,5
7,1,identified_a,1,5
7,1,identified_b,1,5
7,1,identified_c,1,5
7,1,identified_d,1,3
8,1,intrinsic_a,0,5
8,1,intrinsic_b,0,5
8,1,intrinsic_c,0,5
8,1,intrinsic_d,0,5
8,1,identified_a,0,5
8,1,identified_b,0,5
8,1,identified_c,0,4
8,1,identified_d,0,3
8,1,intrinsic_a,1,5
8,1,intrinsic_b,1,5
8,1,intrinsic_c,1,5
8,1,intrinsic_d,1,5
8,1,identified_a,1,5
8,1,identified_b,1,1
8,1,identified_c,1,5
8,1,identified_d,1,5
9,1,intrinsic_a,0,4
9,1,intrinsic_b,0,4
9,1,intrinsic_c,0,4
9,1,intrinsic_d,0,5
9,1,identified_a,0,4
9,1,identified_b,0,3
9,1,identified_c,0,4
9,1,identified_d,0,4
9,1,intrinsic_a,1,4
9,1,intrinsic_b,1,5
9,1,intrinsic_c,1,4
9,1,intrinsic_d,1,5
9,1,identified_a,1,5
9,1,identified_b,1,3
9,1,identified_c,1,3
9,1,identified_d,1,3
10,0,intrinsic_a,0,4
10,0,intrinsic_b,0,4
10,0,intrinsic_c,0,5
10,0,intrinsic_d,0,4
10,0,identified_a,0,4
10,0,identified_b,0,2
10,0,identified_c,0,3
10,0,identified_d,0,1
10,0,intrinsic_a,1,5
10,0,intrinsic_b,1,4
10,0,intrinsic_c,1,4
10,0,intrinsic_d,1,4
10,0,identified_a,1,4
10,0,identified_b,1,4
10,0,identified_c,1,4
10,0,identified_d,1,2
11,1,intrinsic_a,0,5
11,1,intrinsic_b,0,5
11,1,intrinsic_c,0,5
11,1,intrinsic_d,0,5
11,1,identified_a,0,2
11,1,identified_b,0,4
11,1,identified_c,0,2
11,1,identified_d,0,3
11,1,intrinsic_a,1,4
11,1,intrinsic_b,1,5
11,1,intrinsic_c,1,5
11,1,intrinsic_d,1,5
11,1,identified_a,1,4
11,1,identified_b,1,3
11,1,identified_c,1,3
11,1,identified_d,1,5
12,1,intrinsic_a,0,5
12,1,intrinsic_b,0,4
12,1,intrinsic_c,0,4
12,1,intrinsic_d,0,4
12,1,identified_a,0,5
12,1,identified_b,0,4
12,1,identified_c,0,5
12,1,identified_d,0,3
12,1,intrinsic_a,1,5
12,1,intrinsic_b,1,4
12,1,intrinsic_c,1,4
12,1,intrinsic_d,1,4
12,1,identified_a,1,5
12,1,identified_b,1,5
12,1,identified_c,1,5
12,1,identified_d,1,4
13,1,intrinsic_a,0,3
13,1,intrinsic_b,0,3
13,1,intrinsic_c,0,3
13,1,intrinsic_d,0,3
13,1,identified_a,0,3
13,1,identified_b,0,3
13,1,identified_c,0,3
13,1,identified_d,0,3
13,1,intrinsic_a,1,NA
13,1,intrinsic_b,1,NA
13,1,intrinsic_c,1,NA
13,1,intrinsic_d,1,NA
13,1,identified_a,1,NA
13,1,identified_b,1,NA
13,1,identified_c,1,NA
13,1,identified_d,1,NA
14,1,intrinsic_a,0,NA
14,1,intrinsic_b,0,NA
14,1,intrinsic_c,0,NA
14,1,intrinsic_d,0,NA
14,1,identified_a,0,NA
14,1,identified_b,0,NA
14,1,identified_c,0,NA
14,1,identified_d,0,NA
14,1,intrinsic_a,1,NA
14,1,intrinsic_b,1,NA
14,1,intrinsic_c,1,NA
14,1,intrinsic_d,1,NA
14,1,identified_a,1,NA
14,1,identified_b,1,NA
14,1,identified_c,1,NA
14,1,identified_d,1,NA
15,0,intrinsic_a,0,5
15,0,intrinsic_b,0,3
15,0,intrinsic_c,0,3
15,0,intrinsic_d,0,2
15,0,identified_a,0,4
15,0,identified_b,0,4
15,0,identified_c,0,3
15,0,identified_d,0,1
15,0,intrinsic_a,1,NA
15,0,intrinsic_b,1,NA
15,0,intrinsic_c,1,NA
15,0,intrinsic_d,1,NA
15,0,identified_a,1,NA
15,0,identified_b,1,NA
15,0,identified_c,1,NA
15,0,identified_d,1,NA
16,0,intrinsic_a,0,NA
16,0,intrinsic_b,0,NA
16,0,intrinsic_c,0,NA
16,0,intrinsic_d,0,NA
16,0,identified_a,0,NA
16,0,identified_b,0,NA
16,0,identified_c,0,NA
16,0,identified_d,0,NA
16,0,intrinsic_a,1,NA
16,0,intrinsic_b,1,NA
16,0,intrinsic_c,1,NA
16,0,intrinsic_d,1,NA
16,0,identified_a,1,NA
16,0,identified_b,1,NA
16,0,identified_c,1,NA
16,0,identified_d,1,NA
17,0,intrinsic_a,0,NA
17,0,intrinsic_b,0,NA
17,0,intrinsic_c,0,NA
17,0,intrinsic_d,0,NA
17,0,identified_a,0,NA
17,0,identified_b,0,NA
17,0,identified_c,0,NA
17,0,identified_d,0,NA
17,0,intrinsic_a,1,5
17,0,intrinsic_b,1,4
17,0,intrinsic_c,1,5
17,0,intrinsic_d,1,5
17,0,identified_a,1,5
17,0,identified_b,1,5
17,0,identified_c,1,4
17,0,identified_d,1,3
18,1,intrinsic_a,0,4
18,1,intrinsic_b,0,4
18,1,intrinsic_c,0,3
18,1,intrinsic_d,0,4
18,1,identified_a,0,5
18,1,identified_b,0,4
18,1,identified_c,0,4
18,1,identified_d,0,2
18,1,intrinsic_a,1,4
18,1,intrinsic_b,1,4
18,1,intrinsic_c,1,4
18,1,intrinsic_d,1,4
18,1,identified_a,1,4
18,1,identified_b,1,2
18,1,identified_c,1,3
18,1,identified_d,1,1
19,1,intrinsic_a,0,1
19,1,intrinsic_b,0,3
19,1,intrinsic_c,0,3
19,1,intrinsic_d,0,3
19,1,identified_a,0,4
19,1,identified_b,0,2
19,1,identified_c,0,2
19,1,identified_d,0,1
19,1,intrinsic_a,1,4
19,1,intrinsic_b,1,3
19,1,intrinsic_c,1,3
19,1,intrinsic_d,1,3
19,1,identified_a,1,4
19,1,identified_b,1,2
19,1,identified_c,1,3
19,1,identified_d,1,1
20,0,intrinsic_a,0,2
20,0,intrinsic_b,0,3
20,0,intrinsic_c,0,3
20,0,intrinsic_d,0,4
20,0,identified_a,0,3
20,0,identified_b,0,3
20,0,identified_c,0,2
20,0,identified_d,0,1
20,0,intrinsic_a,1,NA
20,0,intrinsic_b,1,NA
20,0,intrinsic_c,1,NA
20,0,intrinsic_d,1,NA
20,0,identified_a,1,NA
20,0,identified_b,1,NA
20,0,identified_c,1,NA
20,0,identified_d,1,NA
21,1,intrinsic_a,0,4
21,1,intrinsic_b,0,4
21,1,intrinsic_c,0,3
21,1,intrinsic_d,0,3
21,1,identified_a,0,4
21,1,identified_b,0,4
21,1,identified_c,0,4
21,1,identified_d,0,4
21,1,intrinsic_a,1,4
21,1,intrinsic_b,1,3
21,1,intrinsic_c,1,4
21,1,intrinsic_d,1,4
21,1,identified_a,1,4
21,1,identified_b,1,3
21,1,identified_c,1,4
21,1,identified_d,1,4
22,1,intrinsic_a,0,3
22,1,intrinsic_b,0,3
22,1,intrinsic_c,0,2
22,1,intrinsic_d,0,2
22,1,identified_a,0,3
22,1,identified_b,0,2
22,1,identified_c,0,2
